name,stem_price
Allium Light Purple,14.0
Anthurium Dyed,32.0
Areca Palm (per bunch),45.0
Areca Palm Rainbow,5.5
Aster Purple,6.5
Astilbe Pink,8.5
Brassica Purple,15.5
Calla Lily Pink,16.0
Calla Lily White,16.0
Carnation Dark Pink,4.5
Carnation Dark Purple,4.5
Carnation Kiwi,6.5
Carnation Painted Blue Lagoon,8.5
Carnation Peach,4.4
Carnation Pink,6.5
Carnation Pink Montezuma,6.5
Carnation Red,6.5
Carnation Single Painted Cote D'Azur,6.5
Carnation White,4.5
Celosia Green,14.0
Celosia Pink,14.5
Chasmanthium Latifolium,4.5
China Grass Variegated (per bunch),22.0
Chrysanthemum Bubblegum (Big Head),16.0
Chrysanthemum Button Green,6.5
Chrysanthemum Button White,6.5
Chrysanthemum Deco Big Head Pink,8.5
Chrysanthemum Deco White,8.5
Chrysanthemum Pina Colada,4.5
Chrysanthemum Purple,4.5
Chrysanthemum Rabello Red,4.5
Chrysanthemum Red Chianti,4.5
Chrysanthemum Santini Adore,6.5
Chrysanthemum Santini Daisy Yellow,6.5
Chrysanthemum Santini Doria Purple,6.5
Chrysanthemum Santini Light Pink,6.5
Chrysanthemum Santini Miller Orange,6.5
Chrysanthemum Santini Peptalk,6.5
Chrysanthemum Santini Salmon,6.5
Chrysanthemum Santini Yellow,6.5
Chrysanthemum Santini Ying Yang Lilac,6.5
Chrysanthemum Santini Ying Yang Yellow,6.5
Chrysanthemum Single Painted Antonov Blue Lagoon,16.0
Chrysanthemum Single Painted Antonov Green,16.0
Chrysanthemum Single Painted Antonov Navy Jumbo,14.0
Chrysanthemum Single Painted Purple,8.0
Chrysanthemum Single Vip Decor Navy Jumbo,14.0
Chrysanthemum Sprays Pina Colada Yellow,4.5
Chrysanthemum Sprays Pink,6.5
Chrysanthemum Veronica Pink,4.5
Craspedia Dyed Green,5.5
Craspedia Dyed Purple,5.5
Craspedia Dyed Red,5.5
Craspedia Globosa,4.5
Eucalyptus Cinerea,9.5
Eucalyptus Cinerea Dyed Blue,9.5
Eucalyptus Painted,10.5
Eucalyptus Parvifolia,9.5
Geraldton Wax Pink,4.5
Geraldton Wax Purple,4.5
Gerbera Bizar,6.5
Gerbera Caramba,7.5
Gerbera Flamazing,6.5
Gerbera Mini Anna,7.5
Gerbera Mini Juna,5.5
Gerbera Mini Opus,5.5
Gerbera Mini Oreo,7.5
Gerbera Mini Pacman,5.5
Gerbera Mini Purple Wonder,6.5
Gerbera Mini Talent,6.5
Gerbera Mini White,7.5
Gerbera Pasta Rosata,12.0
Gerbera White,6.5
Gladiolus Hot Pink,15.5
Grevillia Ivanhoe,6.5
Gypsophila Babys-Breath,5.8
Gypsophila Mirabella,5.8
Hydrangea White,18.0
King Protea Cynaroides,55.0
Leucospermum Orange,13.99
Lily Oriental Marengo,16.0
Limonium Shooting Star,6.5
Limonium Sinense Anouchka Diamond,6.5
Limonium Skylight,6.5
Lisianthus Double Antica,7.5
Lisianthus Double Sabrina Orange,7.5
Lisianthus Green,8.99
Lisianthus Hot Pink,13.5
Lisianthus Pink,12.5
Matthiola Lavender,5.5
Matthiola White,5.5
Oriental Lily Colet,16.0
Oriental Lily White,16.0
Ornithogalum Arabicum Saundersiae,5.5
Ornithogalum Thyrsoides Mount Fuji,5.5
Pampass Natural,9.0
Panicum Fontaine,5.5
Rose Deep Purple,2.99
Rose Esperance,3.99
Rose Jumilia,2.99
Rose Light Pink,2.99
Rose Light Purple,2.49
Rose Orange,2.99
Rose Peach,2.99
Rose Pink,2.99
Rose Senorita,2.99
Rose Sunny Confidential,2.99
Rose White,2.99
Ruscus,1.99
Rustic Sunflower Head,11.0
Salix Willows,12.0
Sanguisorba Officinalis,12.5
Setaria Green,5.5
Silver Brunia Stem,6.5
Spray Rose Eileen,5.5
Spray Rose Fireworks,5.5
Spray Rose Fuchsia,4.5
Spray Rose Odilia,5.5
Spray Rose Red,5.5
Spray Rose Scented Peach,5.5
Spray Rose White,5.5
Spray Rose Yellow Babe,5.5
Strelitzia Reginae Leaf,8.5
Tulip Pink,6.5
Tulip Yellow,7.5
Veronica Skyler Blue,4.5
